Gene,ep_locus,Enhancer_or_Promoter,Chromatin_domain,Tissue_specificity
E04D5.5,chrII:10411424:10411574,coding_promoter,R,Unclassified
eif-2A,chrII:10416431:10416581,coding_promoter,A,Unclassified
eif-2A,chrII:10416609:10416759,coding_promoter,A,Unclassified
eif-2A,chrII:10416998:10417148,putative_enhancer,A,Unclassified
.,chrII:10430616:10430766,putative_enhancer,R,Unclassified
.,chrII:10433443:10433593,putative_enhancer,R,Unclassified
E04D5.4,chrII:10439888:10440038,coding_promoter,R,Low
E04D5.4,chrII:10440705:10440855,coding_promoter,R,Unclassified
ZK673.1,chrII:10444012:10444162,coding_promoter,R,Intest
ZK673.1,chrII:10444338:10444488,putative_enhancer,border,Unclassified
ZK673.2,chrII:10445432:10445582,coding_promoter,A,Unclassified
ZK673.2,chrII:10445858:10446008,coding_promoter,A,Soma
ZK673.2,chrII:10446393:10446543,coding_promoter,A,Muscle_Hypod_Intest
ZK673.2,chrII:10446736:10446886,coding_promoter,A,Unclassified
ZK673.2,chrII:10447774:10447924,coding_promoter,A,Muscle_Hypod_Intest
ZK673.2,chrII:10449810:10449960,putative_enhancer,A,Ubiq
lin-56,chrII:10450272:10450422,coding_promoter,A,Unclassified
lin-56,chrII:10450560:10450710,coding_promoter,A,Ubiq-Biased
ZK673.4,chrII:10452552:10452702,coding_promoter,A,Ubiq
ZK673.11,chrII:10455949:10456099,coding_promoter,border,Neurons
ZK673.11,chrII:10456890:10457040,putative_enhancer,border,Unclassified
ZK673.11,chrII:10458035:10458185,coding_promoter,border,Neurons
ZK673.11,chrII:10459472:10459622,coding_promoter,R,Neurons
tnc-2,chrII:10466703:10466853,coding_promoter,R,Low
ZK673.6,chrII:10466703:10466853,coding_promoter,R,Low
clec-143,chrII:10470273:10470423,coding_promoter,R,Intest
ZK666.1,chrII:10471455:10471605,coding_promoter,R,Unclassified
clec-60,chrII:10482065:10482215,coding_promoter,R,Intest
ZK666.11,chrII:10482326:10482476,coding_promoter,R,Intest
clec-60,chrII:10482326:10482476,coding_promoter,R,Intest
ZK666.11,chrII:10483068:10483218,putative_enhancer,R,Intest
ZK666.15,chrII:10484807:10484957,coding_promoter,R,Unclassified
ZK666.15,chrII:10485761:10485911,putative_enhancer,R,Intest
clec-61,chrII:10490474:10490624,coding_promoter,R,Intest
myrf-1,chrII:10500046:10500196,putative_enhancer,A,Unclassified
myrf-1,chrII:10500795:10500945,putative_enhancer,A,Hypod
myrf-1,chrII:10501057:10501207,putative_enhancer,A,Unclassified
myrf-1,chrII:10501743:10501893,putative_enhancer,A,Soma
myrf-1,chrII:10502751:10502901,coding_promoter,A,Soma
myrf-1,chrII:10503656:10503806,putative_enhancer,A,Unclassified
myrf-1,chrII:10504793:10504943,putative_enhancer,A,Ubiq
myrf-1,chrII:10505152:10505302,putative_enhancer,A,Unclassified
myrf-1,chrII:10506077:10506227,coding_promoter,border,Hypod
F59B10.2,chrII:10509826:10509976,coding_promoter,R,Neurons
F59B10.3,chrII:10510408:10510558,coding_promoter,R,Unclassified
F59B10.4,chrII:10515579:10515729,putative_enhancer,R,Hypod
F59B10.4,chrII:10516495:10516645,coding_promoter,R,Muscle_Hypod
F59B10.4,chrII:10519102:10519252,coding_promoter,R,Hypod
F59B10.4,chrII:10520286:10520436,coding_promoter,R,Hypod
F59B10.5,chrII:10523191:10523341,coding_promoter,border,Unclassified
F59B10.6,chrII:10524539:10524689,coding_promoter,border,Unclassified
F59B10.6,chrII:10525240:10525390,coding_promoter,border,Hypod
mab-10,chrII:10527765:10527915,coding_promoter,border,Soma
mab-10,chrII:10528759:10528909,putative_enhancer,border,Ubiq-Biased
mab-10,chrII:10529505:10529655,putative_enhancer,border,Ubiq-Biased
mab-10,chrII:10530635:10530785,putative_enhancer,A,Unclassified
R166.3,chrII:10538070:10538220,putative_enhancer,A,Unclassified
pro-1,chrII:10541417:10541567,putative_enhancer,A,Ubiq
pro-1,chrII:10541876:10542026,putative_enhancer,A,Ubiq
pro-1,chrII:10542047:10542197,coding_promoter,A,Ubiq
mnk-1,chrII:10542854:10543004,putative_enhancer,A,Ubiq
mnk-1,chrII:10543882:10544032,putative_enhancer,A,Ubiq
mnk-1,chrII:10544472:10544622,putative_enhancer,A,Ubiq
mnk-1,chrII:10545819:10545969,putative_enhancer,A,Ubiq
mnk-1,chrII:10546123:10546273,putative_enhancer,A,Ubiq
mnk-1,chrII:10546747:10546897,putative_enhancer,A,Ubiq
mnk-1,chrII:10547278:10547428,putative_enhancer,A,Ubiq
mnk-1,chrII:10547899:10548049,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10548946:10549096,coding_promoter,A,Soma
mnk-1,chrII:10549408:10549558,putative_enhancer,A,Ubiq
mnk-1,chrII:10550343:10550493,putative_enhancer,A,Neurons
mnk-1,chrII:10550901:10551051,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10551206:10551356,putative_enhancer,A,Soma
mnk-1,chrII:10551747:10551897,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10552092:10552242,putative_enhancer,A,Soma
mnk-1,chrII:10552565:10552715,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10552896:10553046,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10553367:10553517,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10553520:10553670,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10554117:10554267,putative_enhancer,A,Ubiq-Biased
mnk-1,chrII:10554838:10554988,putative_enhancer,A,Unclassified
mnk-1,chrII:10555110:10555260,coding_promoter,A,Ubiq
mnk-1,chrII:10555903:10556053,putative_enhancer,A,Muscle_Hypod_Intest
mnk-1,chrII:10558497:10558647,coding_promoter,A,Muscle
mnk-1,chrII:10559238:10559388,coding_promoter,A,Ubiq-Biased
.,chrII:10559646:10559796,putative_enhancer,A,Ubiq-Biased
cdc-48.1,chrII:10559944:10560094,putative_enhancer,A,Unclassified
cdc-48.1,chrII:10560259:10560409,putative_enhancer,A,Ubiq
cdc-48.1,chrII:10563497:10563647,coding_promoter,A,Ubiq
cdc-48.1,chrII:10563863:10564013,coding_promoter,A,Ubiq
C06A1.2,chrII:10565894:10566044,coding_promoter,A,Unclassified
C06A1.2,chrII:10566620:10566770,coding_promoter,A,Neurons
C06A1.2,chrII:10567967:10568117,putative_enhancer,A,Muscle
C06A1.2,chrII:10568699:10568849,putative_enhancer,A,Unclassified
C06A1.2,chrII:10569600:10569750,coding_promoter,A,Muscle
rpb-6,chrII:10578399:10578549,coding_promoter,A,Germline
C06A1.4,chrII:10578399:10578549,coding_promoter,A,Germline
rpb-6,chrII:10578582:10578732,coding_promoter,A,Germline
C06A1.4,chrII:10578582:10578732,coding_promoter,A,Germline
rpb-6,chrII:10578955:10579105,coding_promoter,A,Germline
C06A1.4,chrII:10578955:10579105,coding_promoter,A,Germline
mrps-22,chrII:10583854:10584004,putative_enhancer,A,Unclassified
C14A4.6,chrII:10594883:10595033,coding_promoter,border,Intest
C14A4.7,chrII:10596448:10596598,putative_enhancer,R,Intest
C14A4.9,chrII:10599084:10599234,coding_promoter,R,Unclassified
C14A4.8,chrII:10599084:10599234,coding_promoter,R,Unclassified
ccm-3,chrII:10607351:10607501,coding_promoter,A,Hypod_Intest
ccm-3,chrII:10607717:10607867,coding_promoter,A,Unclassified
C14A4.12,chrII:10608479:10608629,coding_promoter,border,Muscle
C14A4.12,chrII:10608790:10608940,coding_promoter,border,Unclassified
C14A4.12,chrII:10609850:10610000,putative_enhancer,border,Hypod
C14A4.12,chrII:10612928:10613078,putative_enhancer,border,Unclassified
cutl-9,chrII:10621043:10621193,coding_promoter,R,Unclassified
cutl-9,chrII:10622156:10622306,putative_enhancer,R,Unclassified
.,chrII:10627208:10627358,putative_enhancer,R,Intest
M28.8,chrII:10628415:10628565,putative_enhancer,R,Unclassified
M28.8,chrII:10631045:10631195,putative_enhancer,R,Intest
M28.4,chrII:10646615:10646765,putative_enhancer,R,Unclassified
M28.10,chrII:10647208:10647358,coding_promoter,R,Unclassified
lact-3,chrII:10652237:10652387,putative_enhancer,A,Unclassified
nphp-1,chrII:10652237:10652387,putative_enhancer,A,Unclassified
lact-3,chrII:10653619:10653769,putative_enhancer,A,Unclassified
rsp-7,chrII:10655057:10655207,coding_promoter,A,Intest
lact-3,chrII:10656533:10656683,putative_enhancer,A,Unclassified
rsp-7,chrII:10656533:10656683,putative_enhancer,A,Unclassified
lact-3,chrII:10657343:10657493,putative_enhancer,A,Unclassified
rsp-7,chrII:10657343:10657493,putative_enhancer,A,Unclassified
lact-3,chrII:10657757:10657907,coding_promoter,A,Ubiq-Biased
M28.5,chrII:10658457:10658607,putative_enhancer,A,Unclassified
rsp-7,chrII:10658457:10658607,putative_enhancer,A,Unclassified
rsp-7,chrII:10658839:10658989,coding_promoter,A,Ubiq
M28.5,chrII:10658839:10658989,coding_promoter,A,Ubiq
2-Mar,chrII:10661789:10661939,coding_promoter,A,Hypod
D2089.8,chrII:10662866:10663016,coding_promoter,A,Unclassified
.,chrII:10672006:10672156,putative_enhancer,R,Neurons
ptb-1,chrII:10674304:10674454,coding_promoter,R,Muscle
ptb-1,chrII:10675315:10675465,coding_promoter,R,Unclassified
ptb-1,chrII:10676394:10676544,putative_enhancer,R,Neurons
ptb-1,chrII:10678842:10678992,putative_enhancer,R,Neurons
ptb-1,chrII:10680739:10680889,putative_enhancer,R,Neurons
ptb-1,chrII:10681986:10682136,putative_enhancer,R,Unclassified
ptb-1,chrII:10682973:10683123,putative_enhancer,R,Neurons
ptb-1,chrII:10683627:10683777,putative_enhancer,R,Neurons
ptb-1,chrII:10684974:10685124,putative_enhancer,R,Neurons
ptb-1,chrII:10686051:10686201,coding_promoter,R,Unclassified
gbh-1,chrII:10693806:10693956,coding_promoter,R,Hypod_Intest
ggr-1,chrII:10694934:10695084,coding_promoter,R,Neurons
ggr-1,chrII:10697866:10698016,putative_enhancer,R,Neurons
col-79,chrII:10703705:10703855,putative_enhancer,A,Hypod
dph-2,chrII:10703705:10703855,putative_enhancer,A,Hypod
col-39,chrII:10704721:10704871,coding_promoter,A,Hypod
dph-2,chrII:10706077:10706227,putative_enhancer,A,Hypod
dph-2,chrII:10706811:10706961,putative_enhancer,A,Hypod
col-80,chrII:10707085:10707235,coding_promoter,A,Hypod
col-80,chrII:10707614:10707764,putative_enhancer,A,Hypod
dph-2,chrII:10707614:10707764,putative_enhancer,A,Hypod
bli-1,chrII:10708485:10708635,coding_promoter,A,Hypod
dph-2,chrII:10712175:10712325,putative_enhancer,A,Unclassified
dph-2,chrII:10714355:10714505,coding_promoter,A,Unclassified
C09G5.7,chrII:10714637:10714787,coding_promoter,border,Germline
C09G5.13,chrII:10718498:10718648,putative_enhancer,R,Unclassified
mks-5,chrII:10720099:10720249,coding_promoter,R,Neurons
mks-5,chrII:10725550:10725700,putative_enhancer,R,Germline
glb-12,chrII:10730855:10731005,putative_enhancer,R,Unclassified
glb-12,chrII:10734761:10734911,putative_enhancer,R,Neurons
glb-12,chrII:10735997:10736147,coding_promoter,R,Unclassified
mpz-1,chrII:10742658:10742808,putative_enhancer,R,Neurons
mpz-1,chrII:10743647:10743797,putative_enhancer,R,Neurons
mpz-1,chrII:10744950:10745100,putative_enhancer,R,Neurons_Muscle
mpz-1,chrII:10745793:10745943,putative_enhancer,R,Neurons
mpz-1,chrII:10746217:10746367,putative_enhancer,R,Neurons
mpz-1,chrII:10750213:10750363,putative_enhancer,R,Neurons
mpz-1,chrII:10754551:10754701,putative_enhancer,R,Neurons
mpz-1,chrII:10755582:10755732,putative_enhancer,R,Neurons
mpz-1,chrII:10759095:10759245,putative_enhancer,R,Neurons
mpz-1,chrII:10761883:10762033,putative_enhancer,R,Neurons_Muscle
mpz-1,chrII:10764496:10764646,coding_promoter,R,Muscle
mpz-1,chrII:10765571:10765721,putative_enhancer,border,Muscle
mpz-1,chrII:10769152:10769302,putative_enhancer,border,Neurons_Muscle
mpz-1,chrII:10772240:10772390,putative_enhancer,border,Muscle
mpz-1,chrII:10773474:10773624,putative_enhancer,border,Muscle
mpz-1,chrII:10774176:10774326,putative_enhancer,border,Muscle
mpz-1,chrII:10774470:10774620,coding_promoter,border,Muscle
mpz-1,chrII:10774755:10774905,putative_enhancer,border,Muscle
mpz-1,chrII:10775740:10775890,coding_promoter,border,Neurons_Muscle
mpz-1,chrII:10777294:10777444,coding_promoter,border,Neurons
ect-2,chrII:10783335:10783485,coding_promoter,A,Unclassified
ect-2,chrII:10783677:10783827,coding_promoter,A,Germline
cdl-1,chrII:10784357:10784507,coding_promoter,A,Unclassified
cdl-1,chrII:10784882:10785032,putative_enhancer,A,Ubiq-Biased
cdl-1,chrII:10785232:10785382,coding_promoter,A,Ubiq
vps-11,chrII:10789452:10789602,putative_enhancer,A,Unclassified
set-14,chrII:10796431:10796581,coding_promoter,A,Germline
npp-19,chrII:10798605:10798755,coding_promoter,border,Unclassified
.,chrII:10799100:10799250,putative_enhancer,border,Unclassified
.,chrII:10800200:10800350,putative_enhancer,border,Neurons
.,chrII:10802605:10802755,putative_enhancer,border,Neurons_Intest
ceh-62,chrII:10804359:10804509,coding_promoter,border,Neurons
ceh-62,chrII:10804649:10804799,putative_enhancer,border,Neurons
msrp-7,chrII:10810905:10811055,coding_promoter,R,Unclassified
ech-4,chrII:10820141:10820291,coding_promoter,A,Ubiq-Biased
R06F6.8,chrII:10820141:10820291,coding_promoter,A,Ubiq-Biased
R06F6.8,chrII:10820453:10820603,coding_promoter,A,Unclassified
ech-4,chrII:10820807:10820957,coding_promoter,A,Ubiq-Biased
mix-1,chrII:10824171:10824321,coding_promoter,A,Ubiq
R06F6.12,chrII:10824171:10824321,coding_promoter,A,Ubiq
VM106R.1,chrII:10828001:10828151,putative_enhancer,A,Unclassified
mix-1,chrII:10828001:10828151,putative_enhancer,A,Unclassified
VM106R.1,chrII:10828638:10828788,putative_enhancer,A,Unclassified
mix-1,chrII:10828638:10828788,putative_enhancer,A,Unclassified
VM106R.1,chrII:10829749:10829899,putative_enhancer,A,Neurons_Muscle
mix-1,chrII:10829749:10829899,putative_enhancer,A,Neurons_Muscle
VM106R.1,chrII:10830428:10830578,coding_promoter,A,Neurons
mix-1,chrII:10834438:10834588,putative_enhancer,A,Neurons
M106.2,chrII:10847164:10847314,putative_enhancer,A,Unclassified
M106.2,chrII:10849856:10850006,putative_enhancer,A,Unclassified
M106.2,chrII:10851212:10851362,putative_enhancer,A,Soma
M106.3,chrII:10859496:10859646,putative_enhancer,A,Intest
M106.3,chrII:10860960:10861110,coding_promoter,A,Hypod_Intest
M106.3,chrII:10861828:10861978,putative_enhancer,A,Unclassified
M106.3,chrII:10862171:10862321,coding_promoter,A,Hypod
M106.3,chrII:10862371:10862521,putative_enhancer,A,Ubiq-Biased
M106.3,chrII:10863062:10863212,coding_promoter,A,Ubiq-Biased
M106.3,chrII:10863370:10863520,coding_promoter,A,Germline
gmps-1,chrII:10868003:10868153,putative_enhancer,A,Muscle
cap-2,chrII:10868914:10869064,coding_promoter,A,Ubiq
gmps-1,chrII:10868914:10869064,coding_promoter,A,Ubiq
cap-2,chrII:10869412:10869562,putative_enhancer,A,Unclassified
copz-1,chrII:10872677:10872827,coding_promoter,A,Ubiq
cyn-4,chrII:10872677:10872827,coding_promoter,A,Ubiq
lurp-1,chrII:10877913:10878063,coding_promoter,A,Unclassified
lurp-1,chrII:10880835:10880985,putative_enhancer,A,Unclassified
egg-3,chrII:10882617:10882767,putative_enhancer,A,Unclassified
egg-3,chrII:10884541:10884691,coding_promoter,border,Germline
F44F4.3,chrII:10884752:10884902,putative_enhancer,border,Germline
ptr-8,chrII:10886242:10886392,coding_promoter,R,Unclassified
F44F4.3,chrII:10886242:10886392,coding_promoter,R,Unclassified
ptr-8,chrII:10887238:10887388,coding_promoter,R,Hypod
F44F4.3,chrII:10887238:10887388,coding_promoter,R,Hypod
ptr-8,chrII:10888542:10888692,coding_promoter,R,Hypod
tba-4,chrII:10918458:10918608,coding_promoter,R,Muscle_Hypod_Intest
F44F4.10,chrII:10918458:10918608,coding_promoter,R,Muscle_Hypod_Intest
tba-4,chrII:10919567:10919717,putative_enhancer,R,Unclassified
Y19D2B.2,chrII:10923672:10923822,putative_enhancer,R,Unclassified
metr-1,chrII:10924806:10924956,coding_promoter,border,Hypod_Intest
metr-1,chrII:10925674:10925824,coding_promoter,A,Unclassified
metr-1,chrII:10925923:10926073,putative_enhancer,A,Unclassified
metr-1,chrII:10926293:10926443,coding_promoter,A,Unclassified
metr-1,chrII:10926617:10926767,putative_enhancer,A,Unclassified
metr-1,chrII:10930508:10930658,putative_enhancer,A,Unclassified
R03D7.2,chrII:10935468:10935618,coding_promoter,R,Germline
R03D7.15,chrII:10942047:10942197,coding_promoter,R,Germline
R03D7.4,chrII:10945060:10945210,putative_enhancer,A,Unclassified
R03D7.4,chrII:10945546:10945696,coding_promoter,A,Ubiq-Biased
R03D7.4,chrII:10945732:10945882,coding_promoter,A,Ubiq-Biased
R03D7.4,chrII:10946494:10946644,coding_promoter,A,Unclassified
R03D7.5,chrII:10947010:10947160,coding_promoter,A,Ubiq-Biased
R03D7.4,chrII:10948248:10948398,coding_promoter,A,Unclassified
R03D7.4,chrII:10948720:10948870,coding_promoter,A,Germline
.,chrII:10949516:10949666,putative_enhancer,A,Unclassified
gst-5,chrII:10950201:10950351,coding_promoter,A,Ubiq-Biased
nos-1,chrII:10953328:10953478,coding_promoter,border,Germline
.,chrII:10958548:10958698,putative_enhancer,R,Unclassified
.,chrII:10959927:10960077,putative_enhancer,R,Unclassified
.,chrII:10961314:10961464,putative_enhancer,R,Unclassified
.,chrII:10963831:10963981,putative_enhancer,R,Unclassified
.,chrII:10965193:10965343,putative_enhancer,R,Neurons
.,chrII:10966149:10966299,putative_enhancer,R,Neurons
ptp-3,chrII:10969632:10969782,putative_enhancer,R,Neurons
ptp-3,chrII:10973396:10973546,putative_enhancer,border,Neurons
ptp-3,chrII:10975086:10975236,coding_promoter,border,Unclassified
ptp-3,chrII:10977608:10977758,putative_enhancer,border,Unclassified
ptp-3,chrII:10979305:10979455,putative_enhancer,border,Muscle_Hypod
ptp-3,chrII:10979524:10979674,coding_promoter,border,Muscle_Hypod
ptp-3,chrII:10980171:10980321,coding_promoter,border,Muscle
ptp-3,chrII:10981177:10981327,putative_enhancer,border,Muscle
ptp-3,chrII:10982102:10982252,putative_enhancer,border,Muscle
ptp-3,chrII:10986571:10986721,putative_enhancer,border,Unclassified
ptp-3,chrII:10986875:10987025,coding_promoter,border,Unclassified
ptp-3,chrII:10987665:10987815,putative_enhancer,border,Unclassified
ptp-3,chrII:10988749:10988899,putative_enhancer,border,Unclassified
ptp-3,chrII:10989340:10989490,coding_promoter,border,Ubiq-Biased
ptp-3,chrII:10989815:10989965,putative_enhancer,border,Muscle
ptp-3,chrII:10990048:10990198,putative_enhancer,border,Muscle
ptp-3,chrII:10990752:10990902,putative_enhancer,border,Unclassified
ptp-3,chrII:10991333:10991483,putative_enhancer,border,Unclassified
ptp-3,chrII:10991501:10991651,putative_enhancer,border,Neurons
ptp-3,chrII:10991695:10991845,putative_enhancer,border,Neurons
ptp-3,chrII:10992396:10992546,putative_enhancer,border,Neurons
ptp-3,chrII:10992691:10992841,putative_enhancer,border,Neurons
ptp-3,chrII:10997972:10998122,putative_enhancer,A,Neurons
ptp-3,chrII:10999807:10999957,putative_enhancer,A,Neurons
ptp-3,chrII:11000775:11000925,putative_enhancer,A,Neurons_Muscle
ptp-3,chrII:11004391:11004541,putative_enhancer,A,Neurons
ptp-3,chrII:11005827:11005977,putative_enhancer,A,Neurons
ptp-3,chrII:11006739:11006889,putative_enhancer,A,Unclassified
ptp-3,chrII:11008684:11008834,putative_enhancer,A,Unclassified
col-81,chrII:11013930:11014080,coding_promoter,R,Hypod
.,chrII:11015294:11015444,putative_enhancer,R,Hypod
ram-2,chrII:11015705:11015855,putative_enhancer,R,Hypod
ram-2,chrII:11016281:11016431,putative_enhancer,R,Hypod
ram-2,chrII:11016821:11016971,coding_promoter,R,Hypod
.,chrII:11019508:11019658,putative_enhancer,R,Hypod
let-858,chrII:11022132:11022282,coding_promoter,A,Ubiq
F33A8.7,chrII:11025569:11025719,coding_promoter,A,Hypod
cey-1,chrII:11039996:11040146,putative_enhancer,A,Unclassified
cey-1,chrII:11041023:11041173,putative_enhancer,A,Ubiq
cey-1,chrII:11041852:11042002,putative_enhancer,A,Neurons_Muscle
cey-1,chrII:11042502:11042652,putative_enhancer,A,Ubiq
cey-1,chrII:11043016:11043166,coding_promoter,A,Neurons_Muscle_Intest
cey-1,chrII:11043697:11043847,coding_promoter,A,Unclassified
cey-1,chrII:11043949:11044099,coding_promoter,A,Unclassified
col-83,chrII:11044254:11044404,putative_enhancer,A,Ubiq
sdhd-1,chrII:11049285:11049435,putative_enhancer,A,Unclassified
F33A8.6,chrII:11049998:11050148,coding_promoter,A,Ubiq
sdhd-1,chrII:11049998:11050148,coding_promoter,A,Ubiq
F33A8.6,chrII:11050469:11050619,putative_enhancer,A,Germline
sdhd-1,chrII:11050469:11050619,putative_enhancer,A,Germline
sdhd-1,chrII:11050771:11050921,coding_promoter,A,Germline
F45E10.2,chrII:11054574:11054724,coding_promoter,border,Unclassified
F45E10.2,chrII:11055249:11055399,coding_promoter,border,Neurons
F33A8.6,chrII:11056149:11056299,putative_enhancer,border,Hypod
F33A8.6,chrII:11056938:11057088,putative_enhancer,border,Hypod
F33A8.6,chrII:11057441:11057591,putative_enhancer,border,Hypod
unc-53,chrII:11058231:11058381,putative_enhancer,border,Unclassified
unc-53,chrII:11062750:11062900,putative_enhancer,border,Unclassified
unc-53,chrII:11063763:11063913,putative_enhancer,border,Unclassified
unc-53,chrII:11064191:11064341,putative_enhancer,border,Unclassified
unc-53,chrII:11064522:11064672,putative_enhancer,border,Unclassified
unc-53,chrII:11065568:11065718,putative_enhancer,border,Unclassified
unc-53,chrII:11066412:11066562,putative_enhancer,border,Germline_Neurons
unc-53,chrII:11072529:11072679,putative_enhancer,border,Neurons
unc-53,chrII:11072727:11072877,putative_enhancer,border,Unclassified
unc-53,chrII:11075905:11076055,putative_enhancer,border,Hypod
unc-53,chrII:11076124:11076274,putative_enhancer,border,Unclassified
unc-53,chrII:11077158:11077308,putative_enhancer,border,Muscle
unc-53,chrII:11077612:11077762,putative_enhancer,border,Low
unc-53,chrII:11078460:11078610,putative_enhancer,border,Neurons
unc-53,chrII:11080513:11080663,putative_enhancer,border,Low
unc-53,chrII:11081572:11081722,putative_enhancer,border,Muscle
unc-53,chrII:11082344:11082494,putative_enhancer,border,Unclassified
unc-53,chrII:11084399:11084549,putative_enhancer,border,Unclassified
unc-53,chrII:11085263:11085413,putative_enhancer,border,Low
unc-53,chrII:11085761:11085911,putative_enhancer,border,Neurons
unc-53,chrII:11086794:11086944,putative_enhancer,border,Unclassified
unc-53,chrII:11089193:11089343,putative_enhancer,border,Unclassified
unc-53,chrII:11090008:11090158,putative_enhancer,border,Unclassified
rpl-42,chrII:11091653:11091803,coding_promoter,border,Neurons
unc-53,chrII:11091653:11091803,coding_promoter,border,Neurons
.,chrII:11094853:11095003,putative_enhancer,A,Unclassified
rpl-36.A,chrII:11097060:11097210,putative_enhancer,A,Unclassified
nuo-1,chrII:11097475:11097625,coding_promoter,A,Ubiq
rpl-36.A,chrII:11097475:11097625,coding_promoter,A,Ubiq
C09H10.9,chrII:11101607:11101757,coding_promoter,A,Neurons
C09H10.5,chrII:11102498:11102648,putative_enhancer,A,Unclassified
C09H10.9,chrII:11102498:11102648,putative_enhancer,A,Unclassified
C09H10.5,chrII:11103203:11103353,coding_promoter,A,Ubiq-Biased
C09H10.5,chrII:11106103:11106253,coding_promoter,A,Germline
nasp-1,chrII:11106440:11106590,coding_promoter,A,Ubiq
C09H10.5,chrII:11106440:11106590,coding_promoter,A,Ubiq
glb-4,chrII:11111273:11111423,coding_promoter,A,Unclassified
mat-2,chrII:11112486:11112636,coding_promoter,A,Unclassified
rps-9,chrII:11125475:11125625,putative_enhancer,A,Unclassified
rps-9,chrII:11125940:11126090,putative_enhancer,A,Unclassified
lsm-1,chrII:11126543:11126693,coding_promoter,A,Ubiq
rps-9,chrII:11126543:11126693,coding_promoter,A,Ubiq
F40F8.1,chrII:11127724:11127874,putative_enhancer,A,Neurons
F40F8.1,chrII:11128345:11128495,putative_enhancer,A,Neurons_Muscle
F40F8.11,chrII:11132401:11132551,putative_enhancer,A,Unclassified
F40F8.11,chrII:11132664:11132814,coding_promoter,border,Ubiq
F40F8.5,chrII:11135399:11135549,putative_enhancer,border,Intest
F40F8.5,chrII:11135827:11135977,coding_promoter,border,Muscle
F40F8.5,chrII:11136036:11136186,coding_promoter,border,Muscle_Intest
arrd-6,chrII:11140888:11141038,coding_promoter,R,Neurons
arrd-6,chrII:11142629:11142779,coding_promoter,R,Neurons_Muscle
arrd-6,chrII:11143990:11144140,putative_enhancer,R,Neurons
arrd-6,chrII:11144960:11145110,coding_promoter,R,Neurons
pqm-1,chrII:11151073:11151223,putative_enhancer,R,Intest
pqm-1,chrII:11151798:11151948,putative_enhancer,R,Intest
pqm-1,chrII:11153214:11153364,coding_promoter,R,Intest
pqm-1,chrII:11153997:11154147,coding_promoter,R,Intest
.,chrII:11155147:11155297,putative_enhancer,R,Unclassified
.,chrII:11155637:11155787,putative_enhancer,R,Intest
.,chrII:11156296:11156446,putative_enhancer,R,Intest
.,chrII:11156627:11156777,putative_enhancer,R,Unclassified
ptr-13,chrII:11158802:11158952,putative_enhancer,R,Unclassified
ptr-13,chrII:11160606:11160756,putative_enhancer,R,Hypod
ptr-13,chrII:11161831:11161981,putative_enhancer,R,Hypod
ptr-13,chrII:11162413:11162563,coding_promoter,R,Muscle_Hypod
ptr-13,chrII:11163433:11163583,putative_enhancer,R,Hypod
ptr-13,chrII:11164188:11164338,coding_promoter,R,Hypod
ptr-13,chrII:11164798:11164948,coding_promoter,border,Hypod
ptr-13,chrII:11165474:11165624,coding_promoter,border,Unclassified
.,chrII:11168759:11168909,putative_enhancer,A,Ubiq
F37H8.7,chrII:11170701:11170851,coding_promoter,A,Unclassified
F37H8.2,chrII:11175125:11175275,putative_enhancer,A,Unclassified
F37H8.7,chrII:11175125:11175275,putative_enhancer,A,Unclassified
F37H8.2,chrII:11175447:11175597,coding_promoter,A,Unclassified
F37H8.6,chrII:11176593:11176743,coding_promoter,A,Unclassified
F37H8.6,chrII:11177741:11177891,coding_promoter,A,Neurons_Muscle
bigr-1,chrII:11180055:11180205,coding_promoter,A,Unclassified
bigr-1,chrII:11180256:11180406,coding_promoter,A,Unclassified
bigr-1,chrII:11181330:11181480,coding_promoter,A,Soma
F37H8.6,chrII:11181330:11181480,coding_promoter,A,Soma
bigr-1,chrII:11182643:11182793,putative_enhancer,A,Intest
sfxn-1.2,chrII:11185078:11185228,coding_promoter,A,Ubiq-Biased
lir-3,chrII:11185078:11185228,coding_promoter,A,Ubiq-Biased
sfxn-1.2,chrII:11187742:11187892,putative_enhancer,R,Unclassified
F37H8.5,chrII:11188198:11188348,putative_enhancer,R,Muscle
.,chrII:11192537:11192687,putative_enhancer,R,Hypod
.,chrII:11192894:11193044,putative_enhancer,R,Hypod
.,chrII:11195152:11195302,putative_enhancer,R,Unclassified
srap-1,chrII:11198990:11199140,coding_promoter,R,Unclassified
srap-1,chrII:11200440:11200590,coding_promoter,R,Hypod
srap-1,chrII:11201640:11201790,putative_enhancer,R,Unclassified
srap-1,chrII:11201910:11202060,putative_enhancer,R,Unclassified
srap-1,chrII:11202795:11202945,putative_enhancer,R,Hypod
srap-1,chrII:11203256:11203406,putative_enhancer,R,Unclassified
srap-1,chrII:11204018:11204168,putative_enhancer,R,Unclassified
